candidate_date,season_phase,hotspot_flag,burned_area_context_flag,pt_firesprd_flag,candidate_kind,source_dataset,source_municipality,source_fire_name,start_date,end_date,extent_ha,confidence_flag,incident_id,notes,hourly_observation_count,temperature_min_c,temperature_mean_c,temperature_max_c,relative_humidity_min_pct,relative_humidity_mean_pct,relative_humidity_max_pct,precipitation_total_mm,wind_speed_mean_ms,wind_speed_max_ms,wind_gust_max_ms,dry_day_flag,temperature_max_percentile,relative_humidity_min_percentile,wind_speed_max_percentile,wind_gust_max_percentile,precipitation_total_percentile,simple_weather_risk_score,simple_weather_risk_percentile,candidate_weather_kind,weather_context_source,noon_time_local,noon_observation_hour_local,noon_temperature_c,noon_relative_humidity_pct,noon_wind_speed_ms,noon_wind_speed_kmh,fwi_input_temperature_c,fwi_input_relative_humidity_pct,fwi_input_wind_kmh,fwi_input_rain_mm,ffmc_reference,dmc_reference,dc_reference,isi_reference,bui_reference,fwi_reference,fwi_reference_percentile,fwi_reference_class,kbdi_reference,kbdi_reference_percentile,kbdi_reference_class,fire_index_reference_score,fire_index_reference_percentile,fire_index_reference_kind,candidate_index_kind,index_context_source
2015-08-03,peak_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Oleiros,Oleiros_03082015,2015-08-03,2015-08-04,853,2,2015050020535,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,,,,,,,,,,,,,,,,,,,,missing_weather_context,weather_daily_reference,,,,,,,,,,,,,,,,,,,,,,,,,missing_index_context,weather_daily_reference
2017-07-23,early_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Castelo Branco,CasteloBranco_23072017,2017-07-23,2017-07-28,4569,3,2017050023219,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,15.0,22.929166666666664,32.1,24.0,53.583333333333336,80.0,0.0,3.299583333333333,6.7,13.6,True,0.8912382111347733,0.8757225433526011,0.9129905689078187,0.8863705506540919,0.3346516580468512,0.890204,0.9948281107392759,critical_weather_context,weather_daily_reference,2017-07-23 12:00:00,12,28.0,31.0,2.53,9.107999999999999,28.0,31.0,9.108,0.0,95.809,241.162,687.564,15.296,256.983,51.958,0.8874353513842409,extreme,514.729,0.747185883784606,high,0.845361,0.8795254031031335,elevated_index_context,elevated_index_context,weather_daily_reference
2017-07-23,early_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Serta,Serta_23072017,2017-07-23,2017-07-27,33401,3,2017050023195,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,15.0,22.929166666666664,32.1,24.0,53.583333333333336,80.0,0.0,3.299583333333333,6.7,13.6,True,0.8912382111347733,0.8757225433526011,0.9129905689078187,0.8863705506540919,0.3346516580468512,0.890204,0.9948281107392759,critical_weather_context,weather_daily_reference,2017-07-23 12:00:00,12,28.0,31.0,2.53,9.107999999999999,28.0,31.0,9.108,0.0,95.809,241.162,687.564,15.296,256.983,51.958,0.8874353513842409,extreme,514.729,0.747185883784606,high,0.845361,0.8795254031031335,elevated_index_context,elevated_index_context,weather_daily_reference
2017-08-13,peak_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Castelo Branco,CasteloBranco_13082017,2017-08-13,2017-08-15,6173,2,2017050025136,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,20.0,27.883333333333336,35.8,13.0,31.75,49.0,0.0,2.0725000000000002,4.46,9.1,True,0.9694250076057195,0.9940675387891694,0.45984180103437783,0.39899604502585945,0.3346516580468512,0.789337,0.923942804989352,critical_weather_context,weather_daily_reference,2017-08-13 12:00:00,12,33.2,16.0,1.13,4.068,33.2,16.0,4.068,0.0,96.399,334.401,862.772,12.851,339.67,46.871,0.8472771524186188,extreme,593.823,0.8570124733799818,high,0.850198,0.8840888348037724,elevated_index_context,elevated_index_context,weather_daily_reference
2017-08-23,peak_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Oleiros,Oleiros_23082017,2017-08-23,2017-08-25,7985,3,2017050026111,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,18.8,25.40416666666667,33.9,23.0,49.25,74.0,0.0,2.63125,5.33,10.9,True,0.9323090964405233,0.8913903255247947,0.6975965926376635,0.6440523273501674,0.3346516580468512,0.829852,0.9650136902951019,critical_weather_context,weather_daily_reference,2017-08-23 12:00:00,12,31.0,30.0,2.21,7.956,31.0,30.0,7.956,0.0,96.915,381.216,948.198,16.753,381.183,55.352,0.9129905689078187,extreme,630.207,0.9066017645269242,extreme,0.911074,0.9443261332522057,critical_index_context,critical_index_context,weather_daily_reference
2017-09-08,late_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Serta,Serta_08092017,2017-09-08,2017-09-09,4177,3,2017050027511,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,16.3,22.275000000000002,30.6,16.0,43.541666666666664,69.0,0.0,3.233333333333333,6.5,13.0,True,0.8465165804685123,0.9733799817462732,0.8962579860054761,0.8536659567995132,0.3346516580468512,0.895596,0.9963492546394889,critical_weather_context,weather_daily_reference,2017-09-08 12:00:00,12,28.5,20.0,2.36,8.496,28.5,20.0,8.496,0.0,96.821,432.688,1060.382,16.999,432.529,55.869,0.9184666869485854,extreme,660.396,0.9641010039549741,extreme,0.932157,0.9610587161545482,critical_index_context,critical_index_context,weather_daily_reference
2017-10-15,off_window,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Serta,Serta_15102017,2017-10-15,2017-10-17,30974,4,2017050030693,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,19.0,25.333333333333332,32.6,15.0,30.666666666666668,46.0,0.0,3.07375,6.23,13.6,True,0.9015819896562215,0.9814420444174019,0.8691816245816855,0.8863705506540919,0.3346516580468512,0.916778,0.9981746273197445,critical_weather_context,weather_daily_reference,2017-10-15 12:00:00,12,28.8,25.0,3.22,11.592,28.8,25.0,11.592,0.0,98.742,541.735,1275.308,25.621,541.044,71.669,0.9838758746577426,extreme,706.915,0.9996957712199575,extreme,0.988622,0.9975661697596593,critical_index_context,critical_index_context,weather_daily_reference
2017-10-15,off_window,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Serta,Serta_15102017_2,2017-10-15,2017-10-16,2320,3,2017050030728,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,19.0,25.333333333333332,32.6,15.0,30.666666666666668,46.0,0.0,3.07375,6.23,13.6,True,0.9015819896562215,0.9814420444174019,0.8691816245816855,0.8863705506540919,0.3346516580468512,0.916778,0.9981746273197445,critical_weather_context,weather_daily_reference,2017-10-15 12:00:00,12,28.8,25.0,3.22,11.592,28.8,25.0,11.592,0.0,98.742,541.735,1275.308,25.621,541.044,71.669,0.9838758746577426,extreme,706.915,0.9996957712199575,extreme,0.988622,0.9975661697596593,critical_index_context,critical_index_context,weather_daily_reference
2019-07-20,early_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Vila de Rei,ViladeRei_20072019,2019-07-20,2019-07-22,9305,3,2019050022178,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,17.5,23.995833333333334,32.1,30.0,56.541666666666664,84.0,0.0,3.344583333333333,6.15,12.8,True,0.8912382111347733,0.7794341344691208,0.8556434438697901,0.8398235473075752,0.3346516580468512,0.842866,0.9759659263766353,critical_weather_context,weather_daily_reference,2019-07-20 12:00:00,12,29.2,34.0,2.38,8.568,29.2,34.0,8.568,0.0,93.106,196.987,702.624,10.256,231.627,40.082,0.8028597505324003,extreme,483.976,0.7179799209005172,high,0.777396,0.8065104958929115,elevated_index_context,elevated_index_context,weather_daily_reference
2019-09-13,late_summer,,True,True,pt_firesprd_nearby_event,PT-FireSprd_v2.0,Serta,Serta_13092019,2019-09-13,2019-09-14,676,4,2019050028005,Seed gerado apenas a partir de PT-FireSprd e proximidade municipal. Weather context enriched from daily weather reference. Index context enriched from daily fire weather reference.,24.0,20.6,24.133333333333336,31.0,22.0,42.208333333333336,54.0,0.0,3.954166666666667,6.82,17.0,True,0.8589899604502585,0.9047763918466687,0.9237906905993307,0.9631883176148464,0.3346516580468512,0.901316,0.9969577121995741,critical_weather_context,weather_daily_reference,2019-09-13 12:00:00,12,29.1,29.0,4.96,17.856,29.1,29.0,17.856,0.0,96.466,160.388,1047.481,25.976,231.977,71.373,0.9829631883176149,extreme,651.089,0.9415880742318223,extreme,0.970551,0.9864618192881046,critical_index_context,critical_index_context,weather_daily_reference
