path,status,kind,size_bytes,sha256,owner,last_verified_at,authority
docs/NatureProtector-V1-overview.md,HISTORICAL,markdown,35875,f6b0e15dc4cdf9486594a9114003f29dacd520174cc63d0a4cf7b1b746f64145,Miguel Alves,2026-06-28,supporting
docs/README.md,CURRENT,markdown,1273,0e426126bb8b2d7a66953adc17ca2356d7fcdf241d9e1510cc13b27750c72b44,Miguel Alves,2026-06-28,supporting
docs/architecture/README.md,CURRENT,markdown,2621,6dfae6013dfc796ecb62366056a93c2f3aef4350bf1108ad6d7f567315a89fc3,Miguel Alves,2026-06-28,supporting
docs/architecture/architecture.md,CURRENT,markdown,73358,c11a30d69a352fd6d65121d6b2fdfec0595dd27b6ed17af3281f862c11ff1cba,Miguel Alves,2026-06-28,supporting
docs/architecture/current-capabilities-and-how-to-run.md,CURRENT,markdown,21732,9ec1ae222fe1d556808eb0ad7c384c27caea0add1014d66bc92f73e466d6f47c,Miguel Alves,2026-06-28,supporting
docs/architecture/diagrams/00-legacy-current-repo-architecture.drawio.xml,CURRENT,xml,22547,8ffd391cbb295af0f2737381abf8fcaec66d0b23386aafc6d0452f3a2e7bf5c1,Miguel Alves,2026-06-28,supporting
docs/architecture/diagrams/01-platform-context.drawio,CURRENT,model-source,9688,a0bbbcc9ed3f65ef7069a8e3413adf5406ad29552082274bb711efa55c53fc5a,Miguel Alves,2026-06-28,supporting
docs/architecture/diagrams/02-prevention-subsystem-landscape.drawio,CURRENT,model-source,11988,fcd0f037839462d2067f6b93ab69bd83dd11e89979c5d186dd4961ff7b2bda42,Miguel Alves,2026-06-28,supporting
docs/architecture/diagrams/03-end-to-end-data-chain.drawio,CURRENT,model-source,13586,c3aa118801aded1f4834cd8b4750cc2a6c81c184ed7b6b0d11804a61be80313e,Miguel Alves,2026-06-28,supporting
docs/architecture/diagrams/04-data-curation-and-provenance.drawio,CURRENT,model-source,10712,f1adbf5a557656b83a6e1972cc87b66cf9c47a185ff7899d56dd055eec20c261,Miguel Alves,2026-06-28,supporting
docs/architecture/diagrams/05-territorial-and-weather-context.drawio,CURRENT,model-source,8743,0c4518def0ae095ec3df4746227b271a6e64cada0f0079911c2d79ef7f6d0606,Miguel Alves,2026-06-28,supporting
docs/architecture/diagrams/06-scenario-construction.drawio,CURRENT,model-source,8237,95e504fd5ea191c6ba87c4272a6c93aa99f7535b9143ff31c8622d5501106d3e,Miguel Alves,2026-06-28,supporting
docs/architecture/diagrams/07-simulator-layered-architecture.drawio,CURRENT,model-source,8914,54f26a5e0969918a34172e8c2f4ebef6593e87b8b418df82dee2eec3d811c324,Miguel Alves,2026-06-28,supporting
docs/architecture/diagrams/08-simulation-sequence-happy-path.drawio,CURRENT,model-source,5605,f9bb4620a31de782d94fc4b08c2a86e4eefe751e82061dc5f1698591738de630,Miguel Alves,2026-06-28,supporting
docs/architecture/diagrams/09-operational-pipeline-overview.drawio,CURRENT,model-source,14523,02240dfe44aad0a8f485267584fc30919966b4a5e299be6a8fd9decae9b4c78b,Miguel Alves,2026-06-28,supporting
docs/architecture/diagrams/10-pipeline-retry-and-quarantine-sequence.drawio,CURRENT,model-source,8159,8da4151897d68d0aaaf42aea164699498df95c0fc5ccf05052036a2eb11d8a5c,Miguel Alves,2026-06-28,supporting
docs/architecture/diagrams/11-persistence-views.drawio,CURRENT,model-source,8663,b8bf32053e1c1b58923ca5cf13fd197d38e22e3fd4c6c330865915ac672f0c49,Miguel Alves,2026-06-28,supporting
docs/architecture/diagrams/12-runtime-deployment-local-baseline.drawio,CURRENT,model-source,14039,127154e943b030f318172233467e40f919ee133b78d787ef78a40488c78d5cc5,Miguel Alves,2026-06-28,supporting
