source,size_bytes,sha256,authority,note
NatureProtector-Diagram-Study-Handover-Final(1).zip,104222697,15e5e2f87f6673abe6bb4c8ff157c163e5aa3049340b173a73d22b260a3d26f8,SUPPORTING_OR_HISTORICAL,Input corpus; not copied into repository
NatureProtector-Reconstruction-M1-Contract(3).zip,30958280,9059d83cf46004f29a35f6f0f21109c8f062394e0bfbcfbc06b48af165b98b22,SUPPORTING_OR_HISTORICAL,Input corpus; not copied into repository
NatureProtector-Reconstruction-M2-Messaging-Persistence-Recovery-Pilot(3).zip,401759,f106218f69ac530739d0d9ac795a9b1ba7ec8713114dfa2f7740c86401829533,SUPPORTING_OR_HISTORICAL,Input corpus; not copied into repository
NatureProtector-Reconstruction-M3-Review-Model-v1.1(3).zip,144540,48324e8f2cac5969febb66a90dc177f0a0fde5eca9a552eaf7acee218f05166e,SUPPORTING_OR_HISTORICAL,Input corpus; not copied into repository
NatureProtector-Reconstruction-M4-Codex-Plan-Consolidation (1)(2).zip,1881456,0315d52dfabdeab9bd6ecf2a49e7bbad7a2f5eea987fbfe075db48b3bee7803a,SUPPORTING_OR_HISTORICAL,Input corpus; not copied into repository
NatureProtector-Reconstruction-M5-Master-Events-Decisions (1)(2).zip,160440,dc04e3cbfeccc3a2623ec155995edf04a6a7c3828434eea0b210886cac87de3e,SUPPORTING_OR_HISTORICAL,Input corpus; not copied into repository
NatureProtector-Reconstruction-M6-Technical-Workstreams-Wave1(3).zip,1281156,c01de950ffdd06a50c2f6fa8c1afce4512ac114e33f263911864e193789e99df,SUPPORTING_OR_HISTORICAL,Input corpus; not copied into repository
NatureProtector-Reconstruction-M7-Operational-Governance-Report-Workstreams(3).zip,1414276,461a343954bbd5b851cdc4d447270f5a7d683ef78edb9ae3b53eaa334e1b4cdf,SUPPORTING_OR_HISTORICAL,Input corpus; not copied into repository
NatureProtector-Reconstruction-M8-Core(4).zip,7325671,8cdf3478dfb642e1c633c04dcbd3665af4d528738232712599a1bd53c373fd5d,SUPPORTING_OR_HISTORICAL,Input corpus; not copied into repository
NatureProtector-Reconstruction-R0-Freeze(3).zip,62908,f28c018ea5b9aa72641444cb1d2d0c1ae0057c7b2e186261e3efe93335980778,SUPPORTING_OR_HISTORICAL,Input corpus; not copied into repository
Relatorio(1).zip,22808320,05a38e0e88e9303337f6552bee637de7c65ae856ed42d360ac519610676456a8,SUPPORTING_OR_HISTORICAL,Input corpus; not copied into repository
chatgpt_recovery_phase_c_classification_foundation(2).zip,23347055,e3b60d282f4bb84886075c38eeb1e504929693725563d1c351df03aacc124066,SUPPORTING_OR_HISTORICAL,Input corpus; not copied into repository
chatgpt_recovery_phase_d_final(2).zip,596717,972d4f4675ada5934957d33a0a6741ef1e51a782c72f59ab9399aedc1798d1d2,SUPPORTING_OR_HISTORICAL,Input corpus; not copied into repository
chatgpt_recovery_phase_e_thematic_corpora(2).zip,70418071,9bd52f7413bd26f6daed98394443e74d78b10554fe5b41159847f8dc6398046d,SUPPORTING_OR_HISTORICAL,Input corpus; not copied into repository
chatgpt_recovery_phase_f_knowledge_consolidation(2).zip,7293644,e79f8d399364d004574a4316a24dbded736451ea05ef39686ff458bd7439cc79,SUPPORTING_OR_HISTORICAL,Input corpus; not copied into repository
chatgpt_recovery_phase_g_structured_synthesis(2).zip,2758428,fa27d4b874a32e1f5c83e5f7892b387d26f99a39adf10929ba70a68ff5b39fcb,SUPPORTING_OR_HISTORICAL,Input corpus; not copied into repository
chatgpt_recovery_phase_h_claim_integration(2).zip,50314,c81877c61abfd410521db62833b73dc0fb587af0ff24527e25c5e8a466eaedc1,SUPPORTING_OR_HISTORICAL,Input corpus; not copied into repository
