method,route,access,controller,action,source
GET,/api/control/approvals,capability:approval.review,ControlApprovalsController,Pending,src/NatureProtector.Backoffice.Api/Controllers/ControlApprovalsController.cs
POST,/api/control/approvals/{operationId:guid}/decision,capability:approval.review,ControlApprovalsController,Decide,src/NatureProtector.Backoffice.Api/Controllers/ControlApprovalsController.cs
GET,/api/control/areas,anonymous,ControlAreasController,ListAreas,src/NatureProtector.Backoffice.Api/Controllers/ControlAreasController.cs
GET,/api/control/areas/{areaCode},anonymous,ControlAreasController,GetArea,src/NatureProtector.Backoffice.Api/Controllers/ControlAreasController.cs
GET,/api/control/areas/{areaCode}/GeoJSON,anonymous,ControlAreasController,GetAreaGeoJSON,src/NatureProtector.Backoffice.Api/Controllers/ControlAreasController.cs
GET,/api/control/areas/{areaCode}/alerts/active,anonymous,ControlAreasController,ListActiveAlerts,src/NatureProtector.Backoffice.Api/Controllers/ControlAreasController.cs
GET,/api/control/areas/{areaCode}/cells/operational-state,capability:area.read,ControlAreasController,ListCellOperationalStates,src/NatureProtector.Backoffice.Api/Controllers/ControlAreasController.cs
GET,/api/control/areas/{areaCode}/grid-cells,anonymous,ControlAreasController,ListGridCells,src/NatureProtector.Backoffice.Api/Controllers/ControlAreasController.cs
GET,/api/control/areas/{areaCode}/operational-state,capability:area.read,ControlAreasController,GetOperationalState,src/NatureProtector.Backoffice.Api/Controllers/ControlAreasController.cs
GET,/api/control/areas/{areaCode}/scenarios,capability:area.read,ControlAreasController,ListScenarios,src/NatureProtector.Backoffice.Api/Controllers/ControlAreasController.cs
GET,/api/control/areas/{areaCode}/sensor-nodes,anonymous,ControlAreasController,ListSensorNodes,src/NatureProtector.Backoffice.Api/Controllers/ControlAreasController.cs
GET,/api/control/cloud/catalog,capability:cloud.read,ControlCloudOperationsController,Catalog,src/NatureProtector.Backoffice.Api/Controllers/ControlCloudOperationsController.cs
GET,/api/control/cloud/environments,capability:cloud.read,ControlCloudOperationsController,Environments,src/NatureProtector.Backoffice.Api/Controllers/ControlCloudOperationsController.cs
POST,/api/control/cloud/environments/{environment}/operations,capability:cloud.read,ControlCloudOperationsController,Start,src/NatureProtector.Backoffice.Api/Controllers/ControlCloudOperationsController.cs
GET,/api/control/cloud/environments/{environment}/resources,capability:cloud.read,ControlCloudOperationsController,Resources,src/NatureProtector.Backoffice.Api/Controllers/ControlCloudOperationsController.cs
GET,/api/control/cloud/operations,capability:cloud.read,ControlCloudOperationsController,Operations,src/NatureProtector.Backoffice.Api/Controllers/ControlCloudOperationsController.cs
GET,/api/control/configurations,capability:admin.read,ControlConfigurationsController,ListConfigurations,src/NatureProtector.Backoffice.Api/Controllers/ControlConfigurationsController.cs
