role,capability_constant,capability_value
Admin,DemoRead,demo.read
Admin,AreaRead,area.read
Admin,RiskRead,risk.read
Admin,PipelineRead,pipeline.read
Admin,RunRead,run.read
Admin,ScenarioRead,scenario.read
Admin,SimulationRead,simulation.read
Admin,SimulationExecute,simulation.execute
Admin,QualityRead,quality.read
Admin,EvidenceRead,evidence.read
Admin,EvidenceDownload,evidence.download
Admin,EvidenceCompare,evidence.compare
Admin,DeploymentRead,deployment.read
Admin,CloudRead,cloud.read
Admin,UsersManage,users.manage
Admin,RolesManage,roles.manage
Admin,AdminRead,admin.read
Admin,AdminExecute,admin.execute
Admin,P3Read,p3.read
Admin,DataContextRead,data_context.read
Admin,HelpRead,help.read
Operations,DemoRead,demo.read
Operations,AreaRead,area.read
Operations,RiskRead,risk.read
Operations,PipelineRead,pipeline.read
Operations,RunRead,run.read
Operations,QualityRead,quality.read
Operations,EvidenceRead,evidence.read
Operations,EvidenceDownload,evidence.download
Operations,EvidenceCompare,evidence.compare
Operations,DeploymentRead,deployment.read
Operations,DeploymentPlan,deployment.plan
Operations,DeploymentDeployStaging,deployment.deploy.staging
Operations,DeploymentRollback,deployment.rollback
Operations,CloudRead,cloud.read
Operations,CloudOperateStaging,cloud.operate.staging
Operations,DataContextRead,data_context.read
Operations,HelpRead,help.read
Pipeline,DemoRead,demo.read
Pipeline,AreaRead,area.read
Pipeline,RiskRead,risk.read
Pipeline,PipelineRead,pipeline.read
Pipeline,RunRead,run.read
Pipeline,QualityRead,quality.read
Pipeline,EvidenceRead,evidence.read
Pipeline,EvidenceDownload,evidence.download
Pipeline,EvidenceCompare,evidence.compare
Pipeline,DataContextRead,data_context.read
Pipeline,HelpRead,help.read
QA,DemoRead,demo.read
QA,AreaRead,area.read
QA,RiskRead,risk.read
QA,RunRead,run.read
QA,QualityRead,quality.read
QA,QualityExecuteStatic,quality.execute.static
QA,QualityExecuteFull,quality.execute.full
QA,EvidenceRead,evidence.read
QA,EvidenceDownload,evidence.download
QA,EvidenceExecuteCampaign,evidence.execute.campaign
QA,EvidenceCompare,evidence.compare
QA,DataContextRead,data_context.read
QA,HelpRead,help.read
ReleaseApprover,DemoRead,demo.read
ReleaseApprover,QualityRead,quality.read
ReleaseApprover,EvidenceRead,evidence.read
ReleaseApprover,EvidenceDownload,evidence.download
ReleaseApprover,EvidenceCompare,evidence.compare
ReleaseApprover,DeploymentRead,deployment.read
ReleaseApprover,DeploymentPlan,deployment.plan
ReleaseApprover,DeploymentDeployProduction,deployment.deploy.production
ReleaseApprover,DeploymentRollback,deployment.rollback
ReleaseApprover,CloudRead,cloud.read
ReleaseApprover,CloudOperateProduction,cloud.operate.production
ReleaseApprover,CloudDestroy,cloud.destroy
ReleaseApprover,ApprovalReview,approval.review
ReleaseApprover,DataContextRead,data_context.read
ReleaseApprover,HelpRead,help.read
Sim,DemoRead,demo.read
Sim,AreaRead,area.read
Sim,RiskRead,risk.read
Sim,RunRead,run.read
Sim,ScenarioRead,scenario.read
Sim,SimulationRead,simulation.read
Sim,SimulationExecute,simulation.execute
Sim,EvidenceRead,evidence.read
Sim,DataContextRead,data_context.read
Sim,HelpRead,help.read
