route,page_id,required_capabilities,audience,group,order,status,source
/login,login,anonymous,public,public,0,page,webUI/src/app/App.tsx
/demo,demo,demo.read,public,public,10,page,webUI/src/app/navigation/pageRegistry.ts
/dashboard,dashboard,area.read,public,public,15,page,webUI/src/app/navigation/pageRegistry.ts
/about,about,demo.read,about,about,18,page,webUI/src/app/navigation/pageRegistry.ts
/context,context,data_context.read,public,public,20,page,webUI/src/app/navigation/pageRegistry.ts
/overview,overview,quality.read,common,operate,22,page,webUI/src/app/navigation/pageRegistry.ts
/mission,mission,quality.read,common,operate,25,page,webUI/src/app/navigation/pageRegistry.ts
/risk,risk,risk.read,common,operate,30,page,webUI/src/app/navigation/pageRegistry.ts
/runs,runs,run.read,common,simulate,40,page,webUI/src/app/navigation/pageRegistry.ts
/simulation,simulation,simulation.read,sim,simulate,50,page,webUI/src/app/navigation/pageRegistry.ts
/scenario-compare,scenario-compare,run.read,common,simulate,55,page,webUI/src/app/navigation/pageRegistry.ts
/queries,queries,simulation.execute,sim,simulate,57,page,webUI/src/app/navigation/pageRegistry.ts
/pipeline,pipeline,pipeline.read,pipeline,technical,60,page,webUI/src/app/navigation/pageRegistry.ts
/quality,quality,quality.read,qa,technical,63,page,webUI/src/app/navigation/pageRegistry.ts
/qa,qa,quality.read,qa,technical,65,page,webUI/src/app/navigation/pageRegistry.ts
/qa-tests,qa-tests,quality.read,qa,technical,67,page,webUI/src/app/navigation/pageRegistry.ts
/evidence,evidence,evidence.read,qa,technical,70,page,webUI/src/app/navigation/pageRegistry.ts
/deployments,deployments,deployment.read,operations,release,75,page,webUI/src/app/navigation/pageRegistry.ts
/deployment-health,deployment-health,deployment.read,operations,release,77,page,webUI/src/app/navigation/pageRegistry.ts
/cloud,cloud,cloud.read,operations,release,80,page,webUI/src/app/navigation/pageRegistry.ts
/approvals,approvals,approval.review,approver,release,85,page,webUI/src/app/navigation/pageRegistry.ts
/users,users,users.manage;roles.manage,admin,admin,90,page,webUI/src/app/navigation/pageRegistry.ts
/admin,admin,admin.read,admin,admin,95,page,webUI/src/app/navigation/pageRegistry.ts
/db-queries,queries,simulation.execute,sim,simulate,,redirect,webUI/src/app/App.tsx
